id,hip,hd,hr,gl,main_id,full_name,proper,ra,dec,rarad,decrad,dist,x,y,z,vx,vy,vz,pmra,pmdec,pmrarad,pmdecrad,spect,lum_class,mag,absmag,ci,radius,mass,temp,type,lifespan,comp,comp_primary,sibling,compdist,dist_au,inner_ohz,outer_ohz,inner_chz,outer_chz,bayer,flam,con,gaia,2mass,tyc,ccdm,wds,ads,tic,nltt,plx,fk5,iras,gcrv,web,old_bgs_id,rv,mag_V,mag_B,mag_J,mag_H,mag_K,primary_band,lum,base,comp_numeric,bf,STDT_Mismatch_FullName,STDT_Mismatch_Class,STDT_Mismatch_Magnitude,STDT_Mismatch_Mass,STDT_Mismatch_Radius,STDT_Mismatch_Temperature,STDT_Mismatch_Distance,STDT_Mismatch_InnerHZ,STDT_Mismatch_OuterHZ,Planets(ISIZ),Moons,FloraCount,FaunaCount,UniqueResourceCount,MinLevel,MaxLevel,SystemSize,SurveyDifficultyIndex,SurveyRank,Etymology
55476,55642,99028,4399.0,9359 A,* iot Leo,Leonis,,170.9811,10.5295,2.98418237,0.18377455,23.6101,-22.9255,3.6388,4.3145,-4240.09933305,-16258.38468202,-8882.45714529,149.407,-80.702,7.2e-07,-3.9e-07,F1IV,IV,2.79,0.925,0.4,4.252,2.46,6880.243849975384,Subgiant,1.0559133594813344,1,55476,,,4869927.517070085,5.0743060591873,14.498017311963713,10.088203712908085,5.73879851931897,iot,,Leo,3915612630249290752,J11235546+1031459,858-1221-1,J11239+1032A,J11239+1032A,8148 A,396915247.0,27257.0,2640.00,,11213+1048,6956.0,9999.0,,-11.8,4.010000228881836,4.409999847412109,3.0820000171661377,2.8399999141693115,2.789999961853028,K,48.5506,Leonis,1,iot  Leo,,F2 <-> F1,2.13 <-> 0.93,1.54 <-> 2.46,2.10 <-> 4.25,7170 <-> 6880,23.67 <-> 23.61,2.43 <-> 5.07,5.56 <-> 14.50,9,8,13,16,23,65,255,17,95,A,Linguistic; Latin 'lion' genitive
55539,55705,99211,4405.0,,* gam Crt,Katydid,,171.2205,-17.684,2.98836173,-0.30864423,26.5206,-24.9714,3.8566,-8.0561,1719.39418072,12049.85400534,437.01893738,-96.811,3.65,-4.7e-07,2e-08,A7V(n),V,3.546,1.428,0.19,2.35,2.19,8241.214124831342,Main sequence,1.4109781179795131,1,55539,,,5470271.862941403,4.024047172761305,11.49727763646087,8.000189022037356,4.551005731099095,gam,,Crt,3546521385853638656,J11245298-1741025,6088-2155-1,J11249-1741A,J11249-1741A,8153 A,334849779.0,,2644.00,431.0,F11223-1724,6963.0,10012.0,,0.58,4.059999942779541,4.25,3.6480000019073486,3.5230000019073486,3.5460000038146973,H,21.5758,Katydid,1,gam  Crt,,A9 <-> A7,2.05 <-> 1.43,1.78 <-> 2.19,1.38 <-> 2.35,7525 <-> 8241,25.24 <-> 26.52,2.49 <-> 4.02,5.73 <-> 11.50,3,2,4,4,17,75,255,5,56,C,Insect; onomatopoeic chirp sound
56075,56242,100180,4437.0,3669,*  88 Leo,Charybdis,,172.9373,14.3645,3.01832471,0.25070787,23.4447,-22.5394,2.7925,5.8164,-684.55350509,37026.81487108,-20449.33072513,-329.873,-189.925,-1.6e-06,-9.2e-07,F9.5V,V,4.904,3.054,0.276,1.301,1.51,7617.88126966791,Main sequence,3.5970341930947205,1,56075,,,4835812.358159687,1.903371810963004,5.438205174180012,3.7840844337002575,2.1526228814462547,,88.0,Leo,3966121303915627008,J11314496+1421525,862-1208-1,J11317+1422A,"J11317+1422Aa,Ab",8196 A,219030951.0,27657.0,2665,,,7016.0,10105.0,,-4.81,,6.769999980926514,5.179999828338623,4.958000183105469,4.90399980545044,K,5.2298,Charybdis,1,88.0 Leo,,G0 <-> F9,4.43 <-> 3.05,1.1 <-> 1.51,1.05 <-> 1.30,6000 <-> 7618,23.33 <-> 23.44,0.98 <-> 1.90,2.48 <-> 5.44,9,10,13,19,30,65,255,19,98,S,Mythic; Greek sea monster whirlpool
56828,56997,101501,4496.0,434,*  61 UMa,Kumasi,,175.2626,34.2016,3.05890886,0.59693112,9.5762,-7.8931,0.6541,5.3829,-9642.65150618,1369.50830025,-14315.02700135,-12.522,-381.196,-6e-08,-1.85e-06,G8V,V,3.588,3.682,0.74,1.89,1.3,5468.409762103408,Main sequence,5.164242880126961,1,56828,,,1975239.7505582944,1.4251939120325452,4.071982605807272,2.8334212298742267,1.611826448132045,,61.0,UMa,4025850731201819648,J11410301+3412064,2525-2445-1,J11411+3412A,J11411+3412A,,101641846.0,28222.0,2699.00,1300.0,,7092.0,10258.0,,-5.18,5.340000152587891,6.079999923706055,4.010000228881836,3.609999895095825,3.588000059127808,K,2.9867,Kumasi,1,61.0 UMa,,,5.40 <-> 3.68,0.84 <-> 1.3,0.88 <-> 1.89,5320 <-> 5468,9.61 <-> 9.58,0.60 <-> 1.43,1.43 <-> 4.07,9,19,15,23,30,25,35,28,70,B,Historical; Ghanaian city; Ashanti capital
57270,57443,102365A,4523.0,442 A,*  66 Cen A,Alpha Tirna,,176.6295,-40.5004,3.08276579,-0.70686458,9.3195,-7.0743,0.4166,-6.0525,-7587.39664004,68200.21633139,13536.81292925,-1530.971,403.287,-7.42e-06,1.96e-06,G2V,V,3.31,3.463,0.67,1.92,1.37,5706.318634763023,Main sequence,4.552623967808132,1,57270,118771,,1922275.7925265413,1.5764124702316653,4.5040356292333295,3.134058125341525,1.7828474365715263,,66.0,Cen,5381537023379295232,J11463107-4030013,7745-1381-1,J11465-4030A,J11467-4029A,,454082369.0,28512.0,2725,,11440-4013,7133.0,10319.0,,16.947,4.880000114440918,5.550000190734863,3.740000009536743,3.369999885559082,3.309999942779541,K,3.6541,Alpha Tirna,1,66.0 Cen,,G3 <-> G2,5.07 <-> 3.46,0.98 <-> 1.37,0.98 <-> 1.92,5745 <-> 5706,9.22 <-> 9.32,0.68 <-> 1.58,1.60 <-> 4.50,10,21,11,13,30,35,45,31,66,B,Mythic; Irish 'land of youth'
57459,57632,102647,4534.0,448,* bet Leo,Denebola,Denebola,177.2649,14.5721,3.09385632,0.25433039,10.9999,-10.6339,0.508,2.7675,-264.14941491,25993.56431474,-5787.13087219,-497.68,-114.67,-2.41e-06,-5.6e-07,A3Va,V,1.9,1.693,0.09,1.696,2.06,9125.459334985157,Main sequence,1.643480540600868,1,57459,,,2268890.177098229,3.561784446094564,10.17652698884161,7.081166696402288,4.028208599749804,bet,,Leo,,J11490366+1434197,870-988-1,J11490+1433A,J11491+1434A,8314 A,14725877.0,28642.0,2738.00,444.0,11464+1451,7151.0,10349.0,,-0.2,2.130000114440918,2.220000028610229,1.850000023841858,1.924999952316284,1.899999976158142,J,17.3291,Denebola,1,bet  Leo,,,1.93 <-> 1.69,1.78 <-> 2.06,1.73 <-> 1.70,8500 <-> 9125,,2.80 <-> 3.56,6.50 <-> 10.18,3,5,3,5,14,30,40,8,38,D,Linguistic; Arabic 'lion's tail'
57584,57757,102870,4540.0,449,* bet Vir,Lantana,Zavijava,177.6738,1.7647,3.10099328,0.03080022,11.0018,-10.9875,0.4463,0.3388,-2007.2484687,-38582.84983633,-14122.96349854,740.746,-270.927,3.59e-06,-1.31e-06,F9V,V,2.33,2.123,0.55,3.044,1.87,6170.478867816242,Main sequence,2.1046117326990794,1,57584,,,2269277.0849721385,2.9224137080572574,8.349753451592164,5.810036776732881,3.3051107412552314,bet,,Vir,3796442680947600896,J11504173+0145528,273-924-1,J11507+0146A,J11507+0146A,,366661076.0,28736.0,2739.00,445.0,11481+0202,7160.0,10364.0,,4.455,3.5999999046325684,4.150000095367432,2.630000114440918,2.36299991607666,2.3299999237060547,K,12.3289,Lantana,1,bet  Vir,,F8 <-> F9,3.40 <-> 2.12,1.18 <-> 1.87,1.11 <-> 3.04,6130 <-> 6170,10.93 <-> 11.00,1.43 <-> 2.92,3.35 <-> 8.35,9,12,12,12,27,30,40,21,66,B,Linguistic; Arabic 'corner'
57767,57939,103095,4550.0,451,V* CF Uma,Groombridge,,178.2449,37.7187,3.11095975,0.65831519,9.1718,-7.2517,0.2222,5.6112,-159931.53208739,-169211.39423053,-200150.00638923,4002.655,-5817.8,1.941e-05,-2.821e-05,K1V_Fe-1.5,V,4.373,4.561,0.75,1.276,1.06,5436.136574148009,Main sequence,8.564076927309666,1,57767,,,1891823.92671348,0.950899980057084,2.7168570858773826,1.8904797222563448,1.0754225964931303,,,UMa,4034171629042489344,J11525880+3743060,3014-574-1,,,,309599261.0,28839.0,2745.00,1307.0,,7170.0,10381.0,,-98.008,6.449999809265137,7.199999809265137,4.936999797821045,4.5,4.373000144958496,K,1.3922,Groombridge,1,UMa,,G8 <-> K1,6.63 <-> 4.56,0.66 <-> 1.06,0.68 <-> 1.28,4760 <-> 5436,9.09 <-> 9.17,0.32 <-> 0.95,0.76 <-> 2.72,8,18,12,6,26,25,35,26,57,C,Astronomer; mapped stars near celestial pole
58401,58576,104304,4587.0,454,*  24 Vir,Nirvana,,180.1853,-10.4461,3.14482589,-0.18231936,12.7655,-12.5539,-0.0406,-2.3145,5304.64771075,-5053.57980774,-28685.03483613,83.793,-482.006,4.1e-07,-2.34e-06,G8IV,IV,3.87,3.34,0.77,2.292,1.41,5372.7941961698025,Subgiant,4.2408315102885785,1,58401,,,2633081.4607351166,1.6684702664172524,4.767057904049293,3.3170777915676326,1.886960420352845,,24.0,Vir,3575733210781078016,J12004444-1026452,5521-1366-1,,J12007-1028A,,152738837.0,29280.0,2767.00,,11581-1009,7221.0,10453.0,,0.28,5.550000190734863,6.320000171661377,4.28000020980835,3.910000085830689,3.869999885559082,K,5.249,Nirvana,1,24.0 Vir,,K0 <-> G8,5.01 <-> 3.34,0.78 <-> 1.41,0.85 <-> 2.29,5200 <-> 5373,12.76 <-> 12.77,0.72 <-> 1.67,1.73 <-> 4.77,4,3,4,8,18,40,50,7,41,C,Linguistic; Sanskrit 'extinction'
59020,59199,105452,4623.0,9389,* alf Crv,Alchiba,Alchiba,182.1034,-24.7289,3.178304,-0.4316003,14.9769,-13.5943,-0.4993,-6.2652,1438.04291207,-6836.87272007,-2582.12594051,96.976,-40.023,4.7e-07,-1.9e-07,F1V,V,3.307,2.43,0.32,1.869,1.74,7337.081124302865,Main sequence,2.511732867152166,1,59020,,,3089202.361553761,2.5368835199412088,7.248238628403453,5.0435660455974025,2.8690944570763666,alf,,Crv,3489338019475637760,J12082481-2443440,6672-995-1,,,,421189312.0,,2796.00,,C12058-2426,7276.0,10532.0,,2.8,4.010000228881836,4.329999923706055,3.525000095367432,3.364000082015991,3.306999921798706,K,9.2906,Alchiba,1,alf  Crv,,F0 <-> F1,3.15 <-> 2.43,1.39 <-> 1.74,1.30 <-> 1.87,7040 <-> 7337,14.94 <-> 14.98,1.70 <-> 2.54,4.06 <-> 7.25,10,18,0,0,26,50,255,28,79,B,Linguistic; Arabic 'the tent'
59092,,105590A,,9390 A,** STF 1604A,Zelazny,,182.3689,-11.8571,3.1829375,-0.20694494,24.7923,-24.2426,-1.0029,-5.0941,5543.97380878,-36691.16274734,-19169.55070572,313.876,-166.66,1.52e-06,-8.1e-07,G4,V,5.271,3.299,0.75,2.281,1.42,5436.136574148009,Main sequence,4.143371740068609,1,59092,,,5113779.462552467,1.6997935086430864,4.8565528818373895,3.379351380278517,1.9223855157273,,,Crv,3574377616021489152,J12092849-1151251,5522-1685-1,J12095-1151A,J12095-1151A,,152854208.0,29769.0,,,,,,,1.94,6.840000152587891,7.590000152587891,5.645999908447266,5.379000186920166,5.270999908447266,K,4.2485,Zelazny,1,Crv,,G0 <-> G4,5.08 <-> 3.30,1.1 <-> 1.42,1.05 <-> 2.28,6000 <-> 5436,22.22 <-> 24.79,0.67 <-> 1.70,1.56 <-> 4.86,8,10,17,22,26,60,255,18,98,S,Author; The Chronicles of Amber
60776,60965,108767,4757.0,,* del Crv,Algorab,Algorab,187.4661,-16.5154,3.27190004,-0.28824865,26.2743,-24.9767,-3.2732,-7.4691,1486.12389559,26483.49156708,-16624.45704197,-209.276,-139.184,-1.01e-06,-6.7e-07,A0IV(n)kB9,IV,3.05,0.952,-0.05,1.705,2.44,10795.073234438129,Subgiant,1.0729660190187336,1,60776,,,5419464.161849711,5.0096860679234085,14.313388765495452,9.959733015990585,5.66571638634195,del,,Crv,3520586071216143360,J12295187-1630552,6103-2395-1,J12299-1631A,J12299-1631A,8572 A,297075865.0,30918.0,2880.00,465.0,F12272-1614,7515.0,10850.0,,13.9,2.940000057220459,2.890000104904175,3.0199999809265137,3.049999952316284,3.049999952316284,B,54.8356,Algorab,1,del  Crv,,B9 <-> A0,0.81 <-> 0.95,2.74 <-> 2.44,2.60 <-> 1.71,10500 <-> 10795,26.63 <-> 26.27,10.01 <-> 5.01,24.98 <-> 14.31,3,5,7,10,13,70,255,8,63,B,Linguistic; Arabic 'crow's crop'
60805,,108799A,,9409 A,** BU 28A,Marduk,,187.5199,-13.3932,3.27283955,-0.23375526,24.2957,-23.4317,-3.0931,-5.6277,-2769.75881102,30503.91445389,-5238.87388907,-265.722,-46.756,-1.29e-06,-2.3e-07,G0.1V,V,6.49,4.562,0.61,1.072,1.06,5928.662279892813,Main sequence,8.57210645379982,1,60805,,,5011353.5392801175,0.9501873438257872,2.714820982359392,1.8890629335584104,1.0746166388505929,,,Crv,3528362362908431360,,5533-1791-1,J12301-1324A,J12301-1324A,8573 A,,,,,,,,,1.26,6.489999771118164,7.099999904632568,,,,V,1.3154,Marduk,1,Crv,,G1 <-> G0,4.41 <-> 4.56,1.05 <-> 1.06,1.03 <-> 1.07,5915 <-> 5929,24.65 <-> 24.30,0.91 <-> 0.95,2.14 <-> 2.71,9,9,12,10,24,70,255,18,87,A,Mythic; Babylonian chief god
61748,61941,110379,4825.0,482 A,* gam Vir,Porrima,Porrima,190.4151,-1.4494,3.32337075,-0.02529687,12.0202,-11.8183,-2.1723,-0.304,-6335.93236172,33896.77621482,4882.28889836,-605.176,85.701,-2.93e-06,4.2e-07,F1-F2V,V,1.88,1.48,0.36,3.09,2.16,7100.6683644758405,Main sequence,1.454158490695079,1,61748,,,2479338.0011659563,3.928166533597174,11.223332953134785,7.809569179889619,4.442569293949185,gam,,Vir,3683687763520080384,J12413962-0126580,4949-1120-1,J12417-0127A,J12417-0127A,8630 A,51735845.0,31564.0,2924,,12390-0110,7623.0,11013.0,,-19.8,2.740000009536743,3.0999999046325684,2.0899999141693115,1.9299999475479128,1.8799999952316284,K,22.2752,Porrima,1,gam  Vir,,F0 <-> F1,2.40 <-> 1.48,1.56 <-> 2.16,1.40 <-> 3.09,7500 <-> 7101,11.68 <-> 12.02,2.12 <-> 3.93,4.87 <-> 11.22,6,15,12,14,24,30,40,21,62,B,Mythic; Roman goddess of prophecy
62328,62523,111395,4864.0,486.1,V* LW Com,Ixyll,,192.196,24.8402,3.3544536,0.43354376,17.0982,-15.1661,-3.2779,7.1828,-9238.43941612,25775.46787382,-7765.01809991,-334.908,-105.517,-1.62e-06,-5.1e-07,G5V,V,4.645,3.48,0.478,1.473,1.36,6490.378456787176,Main sequence,4.597937236809142,1,62328,,,3526750.1855151174,1.5639715733297892,4.468490209513684,3.109324437453272,1.7687773745991664,,,Com,3957887649746830848,J12484706+2450250,1990-3779-1,,,,160010717.0,31976.0,2945.00,3021.0,12462+2506,7674.0,11098.0,,-8.965,,6.980000019073486,5.123000144958496,4.704999923706055,4.644999980926514,K,3.5967,Ixyll,1,Com,,G7 <-> G5,5.15 <-> 3.48,0.87 <-> 1.36,0.90 <-> 1.47,5405 <-> 6490,16.93 <-> 17.10,0.67 <-> 1.56,1.59 <-> 4.47,9,17,16,16,28,40,50,26,73,B,Speculative; Ixion; 'cycle of exile'
